timestamp_ns,testbench,task_id,event,execution_time_ns,deadline_ns,temperature_c
582968176426,Period Variation + Jitter,2,END,171056,0,0.000
582968178407,Period Variation + Jitter,3,END,172666,0,0.000
583068005241,Period Variation + Jitter,2,START,0,0,0.000
583068175926,Period Variation + Jitter,2,END,170945,0,0.000
583168005593,Period Variation + Jitter,2,START,0,0,0.000
583168007333,Period Variation + Jitter,3,START,0,0,0.000
583168176444,Period Variation + Jitter,2,END,171203,0,0.000
583168178148,Period Variation + Jitter,3,END,172500,0,0.000
583268005741,Period Variation + Jitter,2,START,0,0,0.000
583268176648,Period Variation + Jitter,2,END,171222,0,0.000
583368005500,Period Variation + Jitter,2,START,0,0,0.000
583368006500,Period Variation + Jitter,3,START,0,0,0.000
583368176333,Period Variation + Jitter,2,END,171093,0,0.000
583368177185,Period Variation + Jitter,3,END,170870,0,0.000
583468005370,Period Variation + Jitter,2,START,0,0,0.000
583468176222,Period Variation + Jitter,2,END,171130,0,0.000
583568004889,Period Variation + Jitter,3,START,0,0,0.000
583568006426,Period Variation + Jitter,2,START,0,0,0.000
583568175704,Period Variation + Jitter,3,END,170833,0,0.000
583568177185,Period Variation + Jitter,2,END,170962,0,0.000
583668004741,Period Variation + Jitter,2,START,0,0,0.000
583668175407,Period Variation + Jitter,2,END,170778,0,0.000
583768005370,Period Variation + Jitter,3,START,0,0,0.000
583768176037,Period Variation + Jitter,3,END,171037,0,0.000
583968006241,Period Variation + Jitter,3,START,0,0,0.000
583968176981,Period Variation + Jitter,3,END,171074,0,0.000
584168005352,Period Variation + Jitter,3,START,0,0,0.000
584168176093,Period Variation + Jitter,3,END,171037,0,0.000
584368007759,Period Variation + Jitter,3,START,0,0,0.000
584368178667,Period Variation + Jitter,3,END,171167,0,0.000
584568005500,Period Variation + Jitter,3,START,0,0,0.000
584568176185,Period Variation + Jitter,3,END,171130,0,0.000
584768011074,Period Variation + Jitter,3,START,0,0,0.000
584768182444,Period Variation + Jitter,3,END,172648,0,0.000
584968005481,Period Variation + Jitter,3,START,0,0,0.000
584968176259,Period Variation + Jitter,3,END,171111,0,0.000
585168006093,Period Variation + Jitter,3,START,0,0,0.000
585168176796,Period Variation + Jitter,3,END,171148,0,0.000
585368005278,Period Variation + Jitter,3,START,0,0,0.000
585368176000,Period Variation + Jitter,3,END,170889,0,0.000
585568005222,Period Variation + Jitter,3,START,0,0,0.000
585568175944,Period Variation + Jitter,3,END,171111,0,0.000
585568804315,Deadline Testing,1,START,0,5000000,0.000
585568890222,Deadline Testing,1,END,86148,5000000,0.000
585568922981,Deadline Testing,2,START,0,10000000,0.000
585569060667,Deadline Testing,3,START,0,20000000,0.000
585569103222,Deadline Testing,2,END,180278,10000000,0.000
585569322093,Deadline Testing,3,END,261537,20000000,0.000
585569699981,CPU Load Variation,1,START,0,0,0.000
585573109278,CPU Load Variation,1,END,3408241,0,0.000
585573534315,Context-Switch Testing,1,START,0,0,0.000
585573563593,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573593704,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573624963,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573643407,Context-Switch Testing,2,START,0,0,0.000
585573654556,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573672704,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585573684056,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573702537,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585573718167,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573732241,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585573748093,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
585573751981,Context-Switch Testing,3,START,0,0,0.000
585573761741,Context-Switch Testing,2,CONTEXT_SWITCH,0,0,0.000
585573780630,Context-Switch Testing,1,CONTEXT_SWITCH,0,0,0.000
